1459,8021BP,Berkumstraat,47,,ALG1017
1462,8021BP,Berkumstraat,53,,ALG1017
1463,8021BP,Berkumstraat,55,,ALG1017
1464,8021BP,Berkumstraat,57,,ALG1017
1465,8021BP,Berkumstraat,59,,ALG1017
1466,8021BP,Berkumstraat,61,,ALG1017
1468,8021BP,Berkumstraat,65,,ALG1017
1425,8021BT,Schoolstraat,70,,ALG1014
1427,8021BT,Schoolstraat,74,,ALG1014
1491,8021BV,Westerveldstraat,11,,ALG1017
1493,8021BV,Westerveldstraat,13,,ALG1017
1497,8021BV,Westerveldstraat,17,,ALG1017
1501,8021BV,Westerveldstraat,21,,ALG1017
1503,8021BV,Westerveldstraat,23,,ALG1017
1505,8021BV,Westerveldstraat,25,,ALG1017
1508,8021BV,Westerveldstraat,29,,ALG1017
1483,8021BV,Westerveldstraat,3,,ALG1017
1487,8021BV,Westerveldstraat,7,,ALG1017
1489,8021BV,Westerveldstraat,9,,ALG1017
1492,8021BW,Westerveldstraat,12,,ALG1017
1494,8021BW,Westerveldstraat,14,,ALG1017
1496,8021BW,Westerveldstraat,16,,ALG1017
1498,8021BW,Westerveldstraat,18,,ALG1017
1482,8021BW,Westerveldstraat,2,,ALG1017
1506,8021BW,Westerveldstraat,26,,ALG1017
1484,8021BW,Westerveldstraat,4,,ALG1017
1486,8021BW,Westerveldstraat,6,,ALG1017
1432,8021BX,Warmoesstraat,13,,ALG1014
1433,8021BX,Warmoesstraat,15,,ALG1014
1434,8021BX,Warmoesstraat,17,,ALG1014
1435,8021BX,Warmoesstraat,19,,ALG1014
1436,8021BX,Warmoesstraat,21,,ALG1014
1437,8021BX,Warmoesstraat,23,,ALG1014
1438,8021BX,Warmoesstraat,25,,ALG1014
1429,8021BX,Warmoesstraat,5,,ALG1014
1430,8021BX,Warmoesstraat,7,,ALG1014
1469,8021BZ,Warmoesstraat,44,,ALG1017
1475,8021BZ,Warmoesstraat,56,,ALG1017
1476,8021BZ,Warmoesstraat,58,,ALG1017
1478,8021BZ,Warmoesstraat,62,,ALG1017
1479,8021BZ,Warmoesstraat,64,,ALG1017
1480,8021BZ,Warmoesstraat,66,,ALG1017
1384,8021CA,Hoekstraat,30,,ALG1014
1385,8021CA,Hoekstraat,32,,ALG1014
1386,8021CA,Hoekstraat,34,,ALG1014
1387,8021CA,Hoekstraat,36,,ALG1014
1388,8021CA,Hoekstraat,38,,ALG1014
1389,8021CA,Hoekstraat,40,,ALG1014
1390,8021CA,Hoekstraat,42,,ALG1014
1391,8021CA,Hoekstraat,44,,ALG1014
1392,8021CA,Hoekstraat,46,,ALG1014
1393,8021CA,Hoekstraat,48,,ALG1014
1394,8021CA,Hoekstraat,50,,ALG1014
1395,8021CA,Hoekstraat,52,,ALG1014
1396,8021CA,Hoekstraat,54,,ALG1014
1397,8021CA,Hoekstraat,56,,ALG1014
1398,8021CA,Hoekstraat,58,,ALG1014
1399,8021CA,Hoekstraat,60,,ALG1014
1400,8021CA,Hoekstraat,62,,ALG1014
1401,8021CA,Hoekstraat,64,,ALG1014
1416,8021CC,Langenholterweg,51,,ALG1014
1417,8021CC,Langenholterweg,53,,ALG1014
1418,8021CC,Langenholterweg,55,,ALG1014
1419,8021CC,Langenholterweg,57,,ALG1014
1420,8021CC,Langenholterweg,59,,ALG1014
1421,8021CC,Langenholterweg,61,,ALG1014
1422,8021CC,Langenholterweg,63,,ALG1014
1423,8021CC,Langenholterweg,65,,ALG1014
1403,8021CD,Hofstraat,1,,ALG1014
1404,8021CD,Hofstraat,3,,ALG1014
1409,8021CE,Hofstraat,10,,ALG1014
1411,8021CE,Hofstraat,12,,ALG1014
1412,8021CE,Hofstraat,14,,ALG1014
1413,8021CE,Hofstraat,16,,ALG1014
1414,8021CE,Hofstraat,18,,ALG1014
1405,8021CE,Hofstraat,6,,ALG1014
1407,8021CE,Hofstraat,8,,ALG1014
1376,8021CR,Hoekstraat,11,,ALG1014
1377,8021CR,Hoekstraat,13,,ALG1014
1378,8021CR,Hoekstraat,15,,ALG1014
1379,8021CR,Hoekstraat,17,,ALG1014
1380,8021CR,Hoekstraat,19,,ALG1014
1383,8021CR,Hoekstraat,28,,ALG1014
1373,8021CR,Hoekstraat,5,,ALG1014
1374,8021CR,Hoekstraat,7,,ALG1014
1375,8021CR,Hoekstraat,9,,ALG1014
1145,8021ER,Van Miereveltstraat,10,,ALG1010
1148,8021ER,Van Miereveltstraat,16,,ALG1010
1149,8021ER,Van Miereveltstraat,18,,ALG1010
1150,8021ER,Van Miereveltstraat,20,,ALG1010
1152,8021ER,Van Miereveltstraat,24,,ALG1010
1142,8021ER,Van Miereveltstraat,4,,ALG1010
1126,8021ES,Ferdinand Bolstraat,1,,ALG1010
1131,8021ES,Ferdinand Bolstraat,13,,ALG1010
1132,8021ES,Ferdinand Bolstraat,15,,ALG1010
1133,8021ES,Ferdinand Bolstraat,17,,ALG1010
